民宿标题,价格,地利,评论数,得分,适合居住人数
＜高新区＞动画学院/吉大南校/欧亚卖场,178,近硅谷大街地铁站,13,5.0,2
轻轨旁含浴缸双燃气灶 奢华一居 会展中心,188,近世纪广场地铁站,15,5.0,2
浪漫大床房,80,近长春站北地铁站,15,4.5,2
南湖湖畔北欧主题loft复式大床套房,131,近卫明街地铁站,30,4.9,2
净月大学城摩洛哥风格浴缸一室一厅民宿近大学,227,None,4,5.0,2
《印心屋》桂林路商圈/美食一条街/东北师大/省艺术学院/工程学院/南湖公园/红旗商圈/地铁1号线,152,None,4,5.0,2
民宿浪漫大床房,174,None,2,5.0,2
【阿泽民宿】北欧清风投影房 ·净月大学城  智能卫浴北欧风温馨私享,159,None,None,None,2
人民广场 医大二院 简约两居民宿（无接触入住）,188,近人民广场地铁站,6,4.8,4
浴缸LOFT大床房,212,近长青地铁站,6,4.9,2
中东大市场旁8套婚纱免费穿尽情拍照过生日,182,近东环城路地铁站,2,5.0,6
近重庆路商圈、近医大二院、近南关地铁站 、近恒兴国际温馨私享！,98,近南关地铁站,17,4.7,2
蜗居LOFT美式双人浴缸私人影咖,234,近仙台大街地铁站,2,5.0,2
两室一厅大床房,167,近伪皇宫地铁站,20,5.0,4
北欧简约loft投影双床房,180,近东方广场地铁站,1,5.0,4
中日联谊医院&红事会&德云社&欧亚超市旁,178,None,4,4.7,4
随心～“黑纱”主题投影民宿大床房～动画学院～投影仪～吉大南校,168,None,3,5.0,2
初见·谷雨【会展中心】【地铁三号线】【净月潭公园】【长影世纪城】【投影仪超级影视会员】大床房,195,近世纪广场地铁站,8,4.5,2
近地铁站 会展中心  180度落地窗 近医院,161,近浦东路地铁站,12,4.9,2
长春吉祥日租民宿（欧式风格大床房）,147,近建设广场地铁站,26,4.8,2
【柒月民宿--邂逅】长春红旗街万达/这有山/网络电视/指纹锁自助入住/56平独立公寓,209,近湖西桥地铁站,20,4.8,2
童梦奇缘主题复式loft智能门锁大床套房,131,近卫明街地铁站,42,4.8,2
【风华素年】净月大学城会展中心复古两室,299,近车场地铁站,6,4.5,4
中涵名都城 电梯高层 ,158,None,3,5.0,4
ins黑白透明网红LOFT投影/已消毒,180,近卫明街地铁站,10,4.8,2
绿洲连锁公寓 温馨大床房,98,近长春站地铁站,16,5.0,2
长春人民广场壹克拉公馆舒适休闲房,138,近平阳街地铁站,24,4.7,2
《泊宿·遇见》微夏私语,174,近华庆路地铁站,3,5.0,2
粉色心情网红民宿LOFT智能门锁/已消毒,180,近卫明街地铁站,7,5.0,2
称心小住两室一厅休闲家庭房,258,近湖光路地铁站,23,5.0,4
随心～Loft～婚纱复式民宿～投影仪～动画学院～吉大南校～通源医院,165,None,3,5.0,2
【清幽小筑民宿】-【筑梦轩】吉大南校旁，近欢乐城、沃尔码，独立LOFT豪装，密码锁，轻奢森林风大床房,195,None,6,5.0,2
万达3号公寓普通商务大床房,132,近长春站北地铁站,16,4.6,2
蜗居•奢华SPA双人浴缸LOFT私人影咖,308,近硅谷大街地铁站,3,5.0,2
爱巢拾光loft复式民宿（近火车站北站/中东港。,117,None,4,5.0,2
像素公馆复式投影大床房,168,近世纪广场地铁站,19,4.8,2
二道区远达大街十三空调两室亲情房,168,近伪皇宫地铁站,7,4.9,4
【非繁城品】非繁城品·长春火车站店长春站/宽城万达雅致大床房,135,近胜利公园地铁站,162,4.5,2
美式奢华LOFT私人影咖房,196,近仙台大街地铁站,3,5.0,2
新楼电梯日租房安全隐私密码锁，可以做饭调料齐全，家具齐全,118,None,3,5.0,2
