民宿标题,价格,地利,评论数,得分,适合居住人数
西安I see you主题酒店高新技术开发区/绿地会展中心枫林晚景圆床房,199,近太白南路站地铁站,7,5.0,2
【長安•忆 堇一露台景观房】钟鼓楼回民街/七寺十三坊 西安明城墙 设计师民宿,385,None,2,5.0,2
【亲子房】近南门/西安城墙/地铁二号线永宁门五分钟/大唐不夜城/回民街,220,None,None,None,3
【中海城】近地铁大雁塔不夜城曲江池边温馨两居,351,None,9,5.0,4
【拾光】唐延路绿地笔克丈八太白路电电视塔,265,近太白南路站地铁站,34,5.0,2
浅秋.拾光里    3号线d口近商圈温馨私享私人影院/投影设备,273,None,15,5.0,2
玩的four素 钟鼓楼回民街温馨投影大床,232,近钟楼地铁站,4,5.0,2
「根据地」～钟楼回民街·天使之翼,324,近洒金桥地铁站,9,4.6,4
地铁上的布拉格小屋民宿,227,近丈八北路站地铁站,21,4.9,2
【天翼】钟鼓楼现代简约两室套房可约接送机,468,近钟楼地铁站,1094,5.0,4
5周酒店大雁塔/曲江度假区私汤观影大床房,371,None,1,5.0,2
『皇城』回民街钟鼓楼地铁口清爽家庭间,253,近钟楼地铁站,474,4.9,3
[窑•白]大床房/钟鼓楼/回民街/老城根,198,近玉祥门地铁站,2,5.0,2
悦·半岛酒店(西安大雁塔店)李家村/赛格电脑城悦沐大床房,485,近西安科技大学地铁站,68,4.8,2
【璞园-半山一墅两室一厅套房】近地铁口|吃喝玩乐回民街|城墙|地铁直达高铁站&大雁塔景区,610,None,14,5.0,4
【天翼】钟鼓楼现代简约两室套房可约接送机,468,近钟楼地铁站,1094,5.0,4
5周酒店大雁塔/曲江度假区私汤观影大床房,371,None,1,5.0,2
『皇城』回民街钟鼓楼地铁口清爽家庭间,253,近钟楼地铁站,474,4.9,3
[窑•白]大床房/钟鼓楼/回民街/老城根,198,近玉祥门地铁站,2,5.0,2
悦·半岛酒店(西安大雁塔店)李家村/赛格电脑城悦沐大床房,485,近西安科技大学地铁站,68,4.8,2
【璞园-半山一墅两室一厅套房】近地铁口|吃喝玩乐回民街|城墙|地铁直达高铁站&大雁塔景区,610,None,14,5.0,4
【临鼓楼】近地铁钟楼回民街永兴坊舒适2居,398,None,54,5.0,4
Hi屋～回民街/钟鼓楼/玉祥门地铁/优惠,340,近玉祥门地铁站,36,5.0,2
【伯仲季·季】钟楼/回民街/清新一居室,206,None,2,5.0,2
【暖气给力】轻奢双床房/大唐芙蓉园/不夜城/大雁塔/曲江海洋馆/曲江一中,208,近北池头站地铁站,16,4.2,2
老城根龙首地铁宜家风原木投影设计栖梦民宿,174,None,2,5.0,2
【都市118·精选】都市118精选土门地区舒适大床房,161,近延平门站地铁站,10,4.5,2
一夕设计师酒店(西安南门店)李家村/赛格电脑城云阶复式大床房,406,近和平门地铁站,24,4.9,2
钟鼓楼/回民街/城墙/地铁口/大唐不夜城/独享大露台/空中花园房,299,近钟楼地铁站,69,4.9,2
大唐西市西工大校园里简约1室套房,134,近科技路站地铁站,33,4.8,2
【都市118·精选】都市118精选土门地区舒适大床房,161,近延平门站地铁站,10,4.5,2
一夕设计师酒店(西安南门店)李家村/赛格电脑城云阶复式大床房,406,近和平门地铁站,24,4.9,2
钟鼓楼/回民街/城墙/地铁口/大唐不夜城/独享大露台/空中花园房,299,近钟楼地铁站,69,4.9,2
大唐西市西工大校园里简约1室套房,134,近科技路站地铁站,33,4.8,2
华豪丽晶润丰公寓套房A,198,近南稍门地铁站,11,5.0,4
乐享两房一厅（可约接送机）,321,近钟楼地铁站,255,4.9,4
【天意】小雁塔钟鼓楼四室一厅一厨两卫套房,890,近南稍门地铁站,194,5.0,10
西安钟鼓楼回民街地铁口升闲艺术民宿~归翁,416,近钟楼地铁站,4,5.0,2
如家欣欣民宿阳光双床标准间《暖气》（独卫有窗）全面消毒（一次性马桶垫),169,近康复路地铁站,32,4.8,2
理想三旬   大雁塔南北广场 ,319,近大雁塔地铁站,11,4.8,2
【天翼】钟鼓楼回民街雅致大床房可约接送机,242,近钟楼地铁站,1014,5.0,2
ins暖阳简欧亲子三人间/秒到回民街、钟楼/负一层钟楼地铁站/五站到大唐不夜城【低风险只需扫健康码】,353,近钟楼地铁站,132,4.9,3
3室2卫120平/钟鼓楼/回民街/近地铁/南门/投影/大3房,1510,None,4,5.0,7
全智能【纯净之梦】钟楼回民街地铁,521,近永宁门地铁站,15,4.8,4
云憩精品酒店钟鼓楼/回民街街景复式套房,333,近永宁门地铁站,10,4.4,3
ins暖阳简欧亲子三人间/秒到回民街、钟楼/负一层钟楼地铁站/五站到大唐不夜城【低风险只需扫健康码】,353,近钟楼地铁站,132,4.9,3
3室2卫120平/钟鼓楼/回民街/近地铁/南门/投影/大3房,1510,None,4,5.0,7
全智能【纯净之梦】钟楼回民街地铁,521,近永宁门地铁站,15,4.8,4
云憩精品酒店钟鼓楼/回民街街景复式套房,333,近永宁门地铁站,10,4.4,3
ins、巨幕投影家庭房/秒到回民街、钟楼/负一层钟楼地铁站/地铁秒到大唐不夜城【低风险地区扫健康码】,350,近钟楼地铁站,31,5.0,3
【随遇】电视塔观景轻奢北欧风,699,None,None,None,2
西安南门零压力精品服务公寓南门地区日式大床房,244,近永宁门地铁站,159,4.9,2
西安兔兔家轻奢公寓(高新万科金域国际店)高新技术开发区/绿地会展中心轻奢大床房,207,近科技路站地铁站,182,5.0,2
【宅寂】近大雁塔不夜城/陕历博/全屋智能,4379,None,18,4.9,4
西安杰森民宿火车北站/市政府阳光大床房,211,近北客站地铁站,149,4.6,2
公主梦投影网红风近商圈,190,None,2,5.0,2
【玫瑰少女】钟楼商圈地铁投影2米大床两居,665,近永宁门地铁站,213,5.0,4
【谷雨兰香】中式特色/喝茶做饭/南稍门地铁口/大唐不夜城/大唐芙蓉园/回民街/钟鼓楼/大雁塔,648,None,3,5.0,3
3室1厅120平/近地铁/小寨大唐不夜城/大雁塔/省体育场/投影特大三房,1510,None,6,5.0,7
『嘉禾』钟鼓楼/回民街—温馨双床三人间,754,近钟楼地铁站,261,4.9,3
一夕设计师酒店(西安南门店)李家村/赛格电脑城鹿鸣复式阳台大床房,406,近和平门地铁站,60,4.9,2
西安爱遇见青年驿站,54,近建筑科技大学·李家村地铁站,85,4.9,20
近地铁/小寨大唐不夜城/大雁塔/省体育场/投影3房,1510,None,5,5.0,7
『嘉禾』钟鼓楼/回民街—爱心亲子家庭房,710,近钟楼地铁站,2066,4.9,3
至爱大雁塔芙蓉园不夜城地暖游戏巨幕亲子房,12599,近北池头站地铁站,64,5.0,8
西北工业大学（友谊校区）豪华3室套房,398,近科技路站地铁站,9,5.0,5
一夕设计师集合民宿(西安钟楼店)钟鼓楼/回民街迟暮,454,近永宁门地铁站,36,4.8,2
【万科】轻奢大床房/地下停车场/24小时管家服务/地铁六号线/电梯梯控，私密安全，24小时安保,167,近科技路站地铁站,82,5.0,2
【大雁塔有家民宿】紧邻大唐不夜城/芙蓉园/大悦城/历史博物馆/海洋馆/小寨/中楼/近地铁3号4号线。,329,None,2,5.0,4
近地铁/钟鼓楼回民街/大雁塔/南稍门/投影/精装大3房,1510,None,3,5.0,7
【曼陀罗民宿】钟楼/鼓楼/回民街/城墙/巨幕影院标准间,342,None,227,5.0,2
近地铁/南门边/近钟鼓楼回民街/南稍门/投影/精装3房,1510,None,7,4.9,7
辛家庙温馨民宿,143,近辛家庙站地铁站,9,4.9,3
【溪苑】影院三居/钟鼓楼/地暖/地铁口,502,近龙首原地铁站,78,5.0,6
【悠家】西安城墙|西安城市运动公园|大唐芙蓉园|汉城湖|秦镇老街|大明宫国家遗址公园&近高铁地铁两居,340,None,6,4.5,5
近地铁/南门边/近钟鼓楼回民街/南稍门/投影/精装3房,1510,None,7,4.9,7
辛家庙温馨民宿,143,近辛家庙站地铁站,9,4.9,3
【溪苑】影院三居/钟鼓楼/地暖/地铁口,502,近龙首原地铁站,78,5.0,6
【悠家】西安城墙|西安城市运动公园|大唐芙蓉园|汉城湖|秦镇老街|大明宫国家遗址公园&近高铁地铁两居,340,None,6,4.5,5
不空民宿,460,近永宁门地铁站,45,5.0,6
【朴宿】唐延路绿地笔克丈八太白路电电视塔,295,近太白南路站地铁站,44,4.9,2
《轻舍》大雁塔/大唐不夜城/大唐芙蓉园/小寨/历史博物馆/海洋公园,351,None,4,5.0,4
【有暖气】可月租可长租 钟楼/鼓楼/南门小清新,167,近钟楼地铁站,70,5.0,2
西安随遇优品民宿交通大学/兴庆公园轻奢风豪华大床房,223,近长乐公园站地铁站,1,5.0,2
【桐居】近铁铁/近商圈/近兵马俑+华清池+长恨歌大三室整套阳光山景房,358,近临潼兵马俑旅游区,21,4.8,6
钟楼四季阳光酒店公寓(西安钟鼓楼回民街店)钟鼓楼/回民街景观巨幕亲子间,319,近钟楼地铁站,71,4.5,3
西安艾斯丁酒店临潼兵马俑旅游区豪华阳光双人房,229,近临潼兵马俑旅游区,74,4.5,2
【寐No.2】钟楼/大雁塔/体育场地铁口,214,近体育场地铁站,21,4.8,2
近地铁/钟楼/大雁塔轻奢简约高档公寓4,229,近延平门站地铁站,2,5.0,2
西安咸阳机场/免费接送机/三人舒适家庭房,145,None,76,4.7,3
【寐No.2】钟楼/大雁塔/体育场地铁口,214,近体育场地铁站,21,4.8,2
近地铁/钟楼/大雁塔轻奢简约高档公寓4,229,近延平门站地铁站,2,5.0,2
西安咸阳机场/免费接送机/三人舒适家庭房,145,None,76,4.7,3
格鲁莫兰迪绿地台温馨双床房,222,None,3,4.7,2
【山下民宿】近兵马俑/华清宫/骊山环山路/地铁口/地暖/可做饭/投影瑜伽/中高端2床4人,366,None,7,4.9,4
西安CCHOME潮巢民宿大雁塔/曲江度假区蒹葭,369,近大唐芙蓉园地铁站,9,4.8,2
秦岭半山别墅/秦岭野生动物园/沣峪口/翠华山/上王村/古观音禅寺/生日团建/桌游/婚娶/烧烤火锅麻将,1060,近秦岭野生动物园,44,5.0,9
西安 临潼 久栖骊舍 精品三居室,399,近临潼兵马俑旅游区,31,5.0,6
 【那年花开两室套房】回民街大雁塔地铁口,331,近体育场地铁站,7,5.0,4
西安CCHOME潮巢民宿大雁塔/曲江度假区溢清,369,近大唐芙蓉园地铁站,5,4.8,2
"子一民宿-【私享温馨简欧套房】钟楼地铁口/城中心/回民街,一客一消毒，24小时热水供暖，投影使用",6599,None,3,4.6,2
『皇城』回民街钟鼓楼地铁口清爽标准间,216,近钟楼地铁站,211,4.9,3
大南门商圈+钟鼓楼回民街+近地铁+古城墙边+地暖+2室4人+紫雁朗庭民宿,351,近南稍门地铁站,6,4.9,4
【小七公寓】电视塔/会展中心/北欧风,178,近会展中心地铁站,7,5.0,2
【橙子民宿】钟楼/鼓楼/回民街/城墙/影院式双床夜景房,334,None,11,5.0,4
『皇城』回民街钟鼓楼地铁口清爽标准间,216,近钟楼地铁站,211,4.9,3
大南门商圈+钟鼓楼回民街+近地铁+古城墙边+地暖+2室4人+紫雁朗庭民宿,351,近南稍门地铁站,6,4.9,4
【小七公寓】电视塔/会展中心/北欧风,178,近会展中心地铁站,7,5.0,2
【橙子民宿】钟楼/鼓楼/回民街/城墙/影院式双床夜景房,334,None,11,5.0,4
可定长恨歌南风北巷 复古轻奢风/华清池/兵马俑/,268,近临潼兵马俑旅游区,8,5.0,4
【都市118·精选】都市118精选土门地区单人间,161,近延平门站地铁站,3,5.0,1
【斑斓】3分步行回民街/可停车/钟楼地铁/市中心,339,近钟楼地铁站,32,5.0,4
钟楼回民街子墨公寓式街景温馨三床房,376,近钟楼地铁站,66,5.0,4
近地铁/钟楼/大雁塔轻奢简约舒适公寓3,229,近延平门站地铁站,2,5.0,2
西安慧源钟楼回民街民宿钟鼓楼/回民街三人间,153,近北大街地铁站,4,5.0,2
【3号】暖气近地铁钟楼兵马俑主题2居,543,近北大街地铁站,1,5.0,4
钟鼓楼回民街城墙边简约原木巨幕投影大床房,168,None,None,None,2
兵马俑和华清池景区西绣岭之家民宿,318,近临潼兵马俑旅游区,84,5.0,5
绿地笔克 驿安公寓影院大床房（中兴产业）,200,近高新管委会/绿地会展中心,39,5.0,2
北欧吊篮浴缸民宿|地铁3号线‖5号线便捷到达大雁塔‖近大唐西市‖近钟楼,257,近延平门站地铁站,13,5.0,2
西安慧源钟楼回民街民宿钟鼓楼/回民街三人间,153,近北大街地铁站,4,5.0,2
【3号】暖气近地铁钟楼兵马俑主题2居,543,近北大街地铁站,1,5.0,4
钟鼓楼回民街城墙边简约原木巨幕投影大床房,168,None,None,None,2
兵马俑和华清池景区西绣岭之家民宿,318,近临潼兵马俑旅游区,84,5.0,5
绿地笔克 驿安公寓影院大床房（中兴产业）,200,近高新管委会/绿地会展中心,39,5.0,2
