民宿标题,价格,地利,评论数,得分,适合居住人数
《梵谷&民宿》呈贡大学城/昆明南站（高铁站）第七街区/近昆工/近云师大/Ins轻奢独立单间空调投影房,137,近谊康南路地铁站,21,4.8,2
【春熙】小清新大床房，有厨房近地铁大观河,134,近市体育馆地铁站,45,4.8,2
颐朵｛蝶恋花｝新昆华医院奥特莱斯温馨公寓,130,None,3,4.8,2
昆明喜登智慧酒店南亚风情第一城特价大床房,144,近昆明火车站地铁站,21,4.9,2
【北非花园】摩洛哥风格公寓/南屏街/美食,199,None,8,5.0,2
海伦中心/简约、温馨、高层一居室,136,近西苑地铁站,17,4.8,2
南屏街 金马坊昆华医院  空调房(夏),158,近五一路地铁站,10,5.0,2
市中心金马坊南屏街翠湖LOFT大床房整租,349,近交三桥地铁站,75,5.0,3
【寻觅】同德广场地铁口阳光充沛投影大床房,245,近火车北站地铁站,14,4.9,2
【健康绿码入住】地铁口客运站现代简约大床,108,近南部汽车站地铁站,29,4.9,2
近昆明火车站、大悦城/近商圈近医院/地铁站出口/机场专线直达/Loft复式公寓【云居喜寓】,256,近环城南路地铁站,11,5.0,4
滇池旁大商汇儿童医院带露天泡池田园大床房,228,近日新路地铁站,9,5.0,2
低价长租云大、翠湖旁/百寸投影/洗衣做饭,206,近火车北站地铁站,53,4.8,4
「春暖花开」高铁站旁地铁站附近舒适大床房,138,近春融街地铁站,23,4.7,2
【复古·绿】Katie‘s flat/网红拍片/可做饭洗衣/近民大师大理工大和翠湖/复古梳妆台/大落,161,None,3,5.0,2
【飘蓝】一居温馨双床房，市中心近地铁口,134,近市体育馆地铁站,57,4.7,2
【简爱】翠湖 红会医院 近穿心鼓楼地铁站 恒隆广场 轻复古 空调大床房 {4楼无电梯需爬楼梯},128,近穿心鼓楼地铁站,22,4.9,2
近翠湖云南大学小院里年轮假装在大理,221,近火车北站地铁站,67,4.9,2
昆明博君莱公寓一室一厅,126,近北辰地铁站,115,4.9,2
木木夕民宿(云南民族村店)滇池风景区/融创滇池后海独居背包房,126,近滇池风景区,36,4.6,1
【糖堂】糖罐 Studio全透明网红滑梯,188,近金星地铁站,37,4.9,2
大露台大露台近商圈近医院温馨私享落地窗,148,近火车北站地铁站,5,4.7,2
【高性价比】精装公寓可长租短租/洗衣做饭.-寓上9店,135,None,3,5.0,2
【途优客】夜海·近小西门/云大医院/投影,198,None,37,5.0,2
〖一屋·雁秋〗近翠湖/红会医院/圆通山/近南屏街/150寸家庭影院,216,None,2,5.0,2
【途优客】森木·近南亚风情/地铁大两居,239,None,169,4.9,4
筑梦者太空舱酒店(昆明火车站店)火车站地区豪华大床房B,84,近环城南路地铁站,117,4.5,2
【小城巷寓】阳光大床房•近万达/南亚风情/昆明站•厨房•麻将•健身,154,None,6,4.8,2
千里缘1号近滇池民族村带儿童乐园两居房,220,近滇池风景区,54,4.9,4
