民宿标题,价格,地利,评论数,得分,适合居住人数
步行【漓江边】近象鼻山桂林站会展中心，贤仙之旅3室2卫+投影,312,近火车南站,73,4.9,6
阳朔水晶阁度假酒店印象刘三姐景区浪漫大床房,123,None,121,4.9,2
【陈舍欢聚时光】毗邻公园/漓江/东西巷/两江四湖/理工大学,507,近七星景区,34,4.9,9
免费接送•观景台旁普通四人间,196,None,39,4.9,4
友情岁月花园三床房（送陶艺体验1份）,238,None,15,5.0,3
远方的家【免费停车】温馨标准间-市中心5分钟--近象鼻山 -七星公园 -两江四湖,127,None,80,5.0,2
【奶茶】近两江四湖/桂林站 时尚现代风,267,近芦笛岩,19,4.9,4
【艾玛之家.和】消毒.步行桂林站.近景区,142,近火车南站,40,4.9,2
【静苑】35艺术空间独立大床房/近西街/码头/漓江景区/免费停车场/赠送船票,131,None,6,5.0,2
阳朔公寓四左绿色INS风双人浴缸大床房,154,近火车北站,2,5.0,2
(Xin•house)万象城铂寓  直达商场 城市中心 近桂林站 琴谭汽车站 浪漫情侣房 适合约会拍,179,None,8,5.0,2
江景免费停车1.5双床房【青】房号888,122,近七星景区,3,5.0,4
特惠[壹宅·太和里11号] 5分钟东西巷,108,近两江四湖,4,4.9,2
【依山民宿】十里画廊遇龙河畔山景大床房,698,None,305,5.0,2
【优旅】彰泰春天/七星区/近万达/小日子随心二居/可短租,183,None,45,5.0,3
拍天空之镜&土耳其风格平台&好眠大床房,147,None,3,5.0,2
山景阳台大床/阳朔·遇龙河大门千古情空中观景台/县城内入住离店接送一次,293,None,45,5.0,2
户外达人大床房邻万达漓江北站连住三天接站,180,近火车北站,226,5.0,2
【半夏】市中心摩洛哥洛可可小屋，1.8米大床房,174,近两江四湖,50,4.7,2
近西街 星玉 观景亲子间  免费停车,168,None,137,4.9,3
十五•一室一厅大屏投影房/超大双人床,203,None,31,5.0,2
【千峰环野】清新阳光大床房近桂林站+象鼻山+两江四湖+好停车,250,None,3,5.0,2
订两晚包接机+火车站两江四湖轻奢4-7人,448,近芦笛岩,97,4.9,7
东西巷/玖间/简美情怀大床房/漓江边,309,近两江四湖,34,5.0,2
【优旅】近北站/叠彩万达/间虚归心大三居,271,None,19,5.0,6
