民宿标题,价格,地利,评论数,得分,适合居住人数
每日消毒｜高档两房，全新设施近儿童医院,257,近永初路地铁站,76,4.9,4
每日消毒｜高档两房，全新设施近儿童医院,257,近永初路地铁站,76,4.9,4
近南京南站/百家湖旅游地铁线温馨套房（爱丁堡）,190,近天元西路地铁站,113,4.9,2
南京南站商圈地铁口毗邻景区复式素雅风,232,近明发广场地铁站,32,4.9,2
【白墨】云栖小栈IMAX投影黑白幻屋,236,None,3,4.9,2
【龙江里】近地铁口/双层loft观影房,263,近龙江地铁站,59,4.9,3
双巨幕影院ins风夫子庙地铁口高层景观房,286,近夫子庙地铁站,48,4.8,4
『Modern times』帕尔马之水丨夫子庙核心区域 临夫子庙地铁 老门东 中华门丨直达新街口玄武,151,近夫子庙地铁站,321,4.9,2
【放客民宿5】南京南站Loft投影浴缸,165,近南京南站地铁站,22,4.8,2
『 静境极简后现代大双床』新街口德基广场旁 双1米8大床 享受不拥挤的团聚时光 紫峰大厦景观,372,None,12,5.0,4
南京南{大白家}loft榻榻米原木房2-4人,242,近明发广场地铁站,13,5.0,2
湖光枫亭~日式原木MUJI湖景房,364,近南京林业大学·新庄地铁站,21,5.0,4
【米兰民宿-水瓶】田园风光/落地窗，近玄武湖|紫金山|红山动物园|南京站|南京商厦/地铁3号线直达新,159,None,2,5.0,2
【梦想家民宿之～婉晴楼（内窗）】夫子庙景区内～状元楼旁～地铁直达～水游城商业圈loft公寓楼,206,None,4,5.0,2
半宅·木篱|双地铁| 夫子庙秦淮河畔IMAX巨幕私人影院·繁华市里新街口水游城时尚商圈,228,None,4,5.0,2
夫子庙新街口总统府3间大床房,238,近三山街地铁站,92,4.9,6
【壹庐】暖屋～ 巨幕影院/南京南站/夫子庙/老门东/新街口/地铁一号线,215,None,1,4.7,2
『Modern times』复刻时光 丨夫子庙核心区域 临地铁口丨近老门东 中华门丨直达新街口玄武湖,151,近夫子庙地铁站,241,4.9,2
[蓝色小筑]十号线工业大学站温馨单室套/近地铁/近商业/loft下层空间/夫子庙新街口直达,136,None,3,5.0,2
馨居,318,近南京工业大学地铁站,7,4.6,6
『熙禾』黑色格调-新街口‖夫子庙‖水游城‖新百商场‖张府园‖巨幕投影‖地铁口旁‖南京南站机场直达,201,近张府园地铁站,4,5.0,2
【喵星人】南站+地铁（一居可做饭）,191,近南京南站地铁站,11,4.6,2
【伊间金陵】步行夫子庙/精装现代风三居室/全屋消毒/剧本杀/可聚会,327,近夫子庙地铁站,12,4.9,4
〖兰亭〗南京南站边（258）绿地云尚公馆,167,近花神庙地铁站,2,5.0,2
南京南地铁口毗邻景区loft无印风大床房,232,近明发广场地铁站,46,4.9,2
