民宿标题,价格,地利,评论数,得分,适合居住人数
五一广场/正地铁1号出口温馨灰白双床投影房,460,近五一广场地铁站,203,4.9,4
【苏苏子·屿静】五一广场梦幻典雅风汉服体验房，大空间好拍照，下楼即是坡子街太平街，步行至ifs两分钟,391,None,17,4.8,4
【沐光】五一广场/近地铁口万达,288,近培元桥地铁站,83,4.8,2
【又夏·壹】地铁口·高铁南·投影房,271,近长沙大道地铁站,4,5.0,3
华永酒店(长沙县中茂城店)星沙经济开发区商圈精品大床影院房,149,None,1,5.0,2
日式榻榻米浴缸观景影院大床房近中医药大学,190,近洋湖湿地公园,15,4.9,2
【湘雅附二】近五一广场/798温馨一居室,150,近袁家岭地铁站,35,4.8,2
【栩】正地铁口/江景落地大窗/月亮岛/砂之船/好停车/可做饭/可长租/直达高铁南/医学院/漫步湘江,155,None,3,5.0,2
【格调】巨幕超清投影大床房国金中心坡子街,272,近黄兴广场地铁站,85,5.0,2
近火车站  高端公寓 2号线直达五一广场,230,近长沙火车站地铁站,3,4.9,2
【壹•白日梦】五一广场九龙仓太平街江景房,288,近五一广场地铁站,3,5.0,2
【苹果】温馨双床套房 五一广场地铁1出口 省博物馆 行李寄存,448,近五一广场地铁站,104,5.0,4
【向日葵】河西王府井 北欧森系巨幕投影房,208,近金星路地铁站,20,5.0,2
【苹果】温馨双床套房 五一广场地铁1出口 省博物馆 行李寄存,448,近五一广场地铁站,104,5.0,4
【向日葵】河西王府井 北欧森系巨幕投影房,208,近金星路地铁站,20,5.0,2
长沙十八度民宿雨花亭/林科大标准大床房,107,近铁道学院地铁站,37,4.9,2
星沙极米投影房松雅湖未来漫城大众传媒！能做饭,155,近星沙,3,5.0,2
O_W民宿酒店(长沙晚报大道店)湖南卫视/世界之窗日式大床房,209,None,27,4.8,2
长沙知觉酒店五一广场/IFS国金中心/长沙站潮玩系列大床房,258,近南湖路地铁站,35,4.8,2
【吾悦】知意-北欧大床落日灯拍照/环宇城/德盛欢乐广场/理工大学云塘校区/地铁口/便捷停车,163,None,8,5.0,2
两房一厅五一广场地铁口/平和堂/王府井/打卡坡子街/太平老街此房随机多套,471,None,65,4.8,4
蓝精灵投影大床房※岳麓山近洋湖湿地中医院,167,近洋湖湿地公园,74,4.9,2
【域间·一隅】美学空间|浴缸投影|长沙南站|探索系列·适合拍摄,276,None,93,4.9,2
长沙西湖民宿湖南卫视/世界之窗双床间,117,近万家丽广场地铁站,4,4.8,4
复式loft北欧小清新大床房,169,近铁道学院地铁站,11,4.6,2
岳麓区loft江景公寓,269,近铁道学院地铁站,35,4.9,2
长沙曼希酒店高铁南站/国际会展中心商圈精致投影大床房,162,近铁道学院地铁站,40,4.8,2
拾贰《沐棉》五一广场地铁口 太平街坡子街,261,近五一广场地铁站,5,5.0,2
近市政府/长郡双语/麦德龙「蓝调一居」,193,近金星路地铁站,87,4.9,2
【知己】湘江风光带/私享影院/轻奢大床房,430,None,3,5.0,2
【朴宿528】近湖南涉外经济学院｜一师范｜梅溪湖步步高｜麓谷企业广场｜中信湘雅 ｜岳麓山｜芯城科技园,156,None,5,5.0,2
【芭提雅】近五一广场/雨花亭/长沙理工/地铁口/近五一广场/国金中心IFS/步行街,548,None,18,5.0,6
黑白空间 近地铁口•湘雅•省妇幼•五一商圈•橘子洲,278,None,2,5.0,2
【隐庐·卷珠帘复式loft】今夜特价五一广场国金中心IFS地铁1号2号线/古风别墅三床/汉服免费体验,381,近南门口地铁站,17,5.0,4
（日租月租年租）精品观景大床房安全安静东塘瑞府小区,155,None,10,4.6,2
